,artist,album,albumcount,year
180104,Maroon 5,Songs About Jane,157,2002
181251,Marvin Sapp,Thirsty,86,2007
185377,MercyMe,Almost There,96,2001
186734,Michael Buble,Call Me Irresponsible,113,2007
186783,Michael Buble,Crazy Love,83,2009
186817,Michael Buble,It's Time,143,2005
187388,Michael Jackson,Number Ones,222,2003
187476,Michael Jackson,The Essential Michael Jackson,258,2005
188215,Michelle Branch,The Spirit Room,86,2001
190393,Miranda Lambert,Crazy Ex-Girlfriend,111,2007
190447,Miranda Lambert,Revolution,121,2009
193927,Mumford & Sons,Sigh No More,222,2009
194638,My Chemical Romance,The Black Parade,94,2006
195893,Nancy Wilson,Hollywood-My Way,90,2006
199023,Nelly,Country Grammar,104,2000
199170,Nelly Furtado,"Whoa, Nelly!",79,2000
200618,Nickelback,All The Right Reasons,206,2005
200678,Nickelback,Silver Side Up,92,2001
200707,Nickelback,The Long Road,80,2003
202700,Norah Jones,Come Away With Me,164,2002
205374,OneRepublic,Waking Up,80,2009
206864,Original Cast,Fiddler On The Roof,206,2003
209077,P!nk,Funhouse,115,2008
209107,P!nk,I'm Not Dead,88,2006
209120,P!nk,M!ssundaztood,90,2001
209825,Panic! At The Disco,A Fever You Can't Sweat Out,88,2005
210287,Paramore,RIOT!,80,2007
218693,Phoenix,Wolfgang Amadeus Phoenix,83,2009
223584,Puddle Of Mudd,Come Clean,88,2001
228379,Rascal Flatts,Feels Like Today,105,2004
228391,Rascal Flatts,Greatest Hits Volume 1,136,2008
228404,Rascal Flatts,Me And My Gang,91,2006
228418,Rascal Flatts,Melt,104,2002
230433,Red Hot Chili Peppers,Greatest Hits,195,2003
233888,Rihanna,Good Girl Gone Bad,99,2008
236640,Rod Stewart,It Had To Be You ... The Great American Songbook,86,2002
236947,Rodney Atkins,If You're Going Through Hell,107,2006
243353,Sara Evans,Born To Fly,85,2000
245743,Sean Paul,Dutty Rock,85,2002
247496,Shaggy,Hotshot,84,2002
247964,Shania Twain,Up!,93,2002
249178,Sheryl Crow,The Very Best Of Sheryl Crow,81,2003
249290,Shinedown,The Sound Of Madness,141,2008
258516,Soundtrack,Forrest Gump,94,2001
261204,Soundtrack,"O Brother, Where Art Thou?",112,2000
261663,Soundtrack,Pretty Woman,91,2007
272234,Sugarland,Enjoy The Ride,102,2006
272265,Sugarland,Love On The Inside,109,2008
272288,Sugarland,Twice The Speed Of Life,92,2004
273742,Switchfoot,The Beautiful Letdown,118,2003
274262,System Of A Down,Toxicity,95,2001
276645,Taylor Swift,Fearless,255,2008
280075,The All-American Rejects,Move Along,97,2005
281851,The Beach Boys,Sounds Of Summer:The Very Best Of The Beach Boys,150,2003
282114,The Beatles,1,349,2000
283212,The Black Eyed Peas,Elephunk,106,2003
283254,The Black Eyed Peas,The E.N.D.,114,2009
289978,The Fray,How To Save A Life,92,2005
293437,The Killers,Hot Fuss,98,2004
297975,The Notorious B.I.G.,Greatest Hits,157,2007
299921,The Pussycat Dolls,PCD,99,2005
304874,The Surfaris,Wipe Out,82,2005
309012,Theory Of A Deadman,Scars & Souvenirs,110,2008
310324,Three Days Grace,One - X,129,2006
311325,Tim McGraw,Greatest Hits Vol 2: Reflected,92,2006
311370,Tim McGraw,Live Like You Were Dying,86,2004
311421,Tim McGraw,Set This Circus Down,78,2001
311461,Tim McGraw,Tim McGraw And The Dancehall Doctors,88,2002
312334,Toby Keith,Greatest Hits 2,105,2004
313436,Tom Petty And The Heartbreakers,Greatest Hits,305,2008
315539,Tool,Aenima,104,2006
316540,Trace Adkins,Songs About Me,78,2005
317538,Trapt,Trapt,82,2002
317783,Travis Tritt,Down The Road I Go,88,2000
318925,Trini Lopez,Trini Lopez At PJ's,130,2005
321059,U2,All That You Can't Leave Behind,94,2000
321324,U2,U2 Live: Under A Blood Red Sky (EP),180,2006
322748,Usher,Confessions,124,2004
348134,Zac Brown Band,The Foundation,294,2008
