,artist,album,albumcount,year
108443,Glen Campbell,Reunion (The Songs Of Jimmy Webb),5,1974
109556,Golden Earring,To The Hilt,4,1975
110775,Grace Slick,Manhole,7,1974
110946,Graham Parker,Heat Treatment,7,1976
111023,Graham Parker,The Parkerilla,3,1978
111060,Gram Parsons,Grievous Angel,3,1974
112183,Grease,Grease Band,3,1971
113004,Grin,1 + 1,6,1972
114928,Hank Crawford,I Hear A Symphony,7,1975
115861,Harry Chapin,Legends Of The Lost And Found - New Greatest Stories Live,3,1979
115886,Harry Chapin,On The Road To Kingdom Come,6,1976
116191,Harry Nilsson,Sandman,7,1976
116517,Hawkwind,Warrior On The Edge Of Time,5,1975
116973,Heartsfield,Foolish Pleasures,7,1975
117616,Henry Gross,Show Me To The Stage,7,1977
117660,Henry Mancini,"Brass, Ivory & Strings",3,1972
117820,Henry Mancini,The Mancini Generation,5,1972
117872,Henry Mancini Concert Orchestra,Symphonic Soul,6,1975
118188,Herbie Hancock,Sextant,6,1973
118219,Herbie Hancock,V.s.o.p.,7,1977
118229,Herbie Mann,Bird In A Silver Cage,7,1976
118275,Herbie Mann,Memphis Two-Step,3,1971
118297,Herbie Mann,Stone Flute,3,1970
118310,Herbie Mann,Surprises,2,1976
118359,Herbie Mann,Waterbed,7,1975
120131,Hot Chocolate,Man To Man,6,1976
120241,Hot Tuna,The Phosphorescent Rat,7,1973
120613,Hubert Laws,Carnegie Hall,6,1973
120629,Hubert Laws,Romeo & Juliet,6,1976
121712,Ian Matthews,Valley Hi,7,1973
122316,If,Waterfall,4,1972
122325,Iggy And The Stooges,Raw Power,3,1973
122408,Iggy Pop,New Values,4,1979
123208,Incredible String Band,'U',3,1970
124940,Isaac Hayes,Juicy Fruit (disco Freak),7,1976
126284,Jack Bruce,How's Tricks,5,1977
126296,Jack Bruce,Out Of The Storm,3,1974
127478,Jade Warrior,Released,2,1971
128157,James Brown,Everybody's Doin' The Hustle & Dead Double Bump,2,1976
128516,James Brown,Sho Is Funky Down Here,4,1971
128566,James Brown,The Original Disco Man,6,1979
128693,James Galway,Annie's Song And Other Galway Favorites,5,1979
129583,Jan Akkerman,Tabernakel,2,1973
131414,Jean Luc Ponty,Upon The Wings Of Music,5,1975
131689,Jeff Beck,Jeff,1,1975
133322,Jerry Butler,Nothing Says I Love You Like I Love You,4,1978
133374,Jerry Clower,Jerry Clower's Greatest Hits,1,1979
133392,Jerry Garcia,Cats Under The Stars,5,1978
133502,Jerry Garcia Band,Don't Let Go,2,1976
133624,Jerry Goodman & Jan Hammer,Like Children,3,1974
133683,Jerry Jeff Walker,Ridin' High,7,1975
133760,Jerry Lee Lewis,"Live At The International, Las Vegas",6,1970
133824,Jerry Lee Lewis,She Even Woke Me Up To Say Goodbye,2,1970
